LWS,Array Size,Sparsity Ratio,Compute Cycles
lws_4x4,4x4,1:4,1898495
lws_4x4,4x4,2:4,3796991
lws_4x4,4x4,3:4,5695487
lws_4x4,4x4,4:4,7593983
lws_8x8,8x8,1:8,251135
lws_8x8,8x8,2:8,502271
lws_8x8,8x8,3:8,753407
lws_8x8,8x8,4:8,1004543
lws_8x8,8x8,5:8,1255679
lws_8x8,8x8,6:8,1506815
lws_8x8,8x8,7:8,1757951
lws_8x8,8x8,8:8,2009087
lws_16x16,16x16,1:16,34847
lws_16x16,16x16,2:16,69695
lws_16x16,16x16,3:16,104543
lws_16x16,16x16,4:16,139391
lws_16x16,16x16,5:16,174239
lws_16x16,16x16,6:16,209087
lws_16x16,16x16,7:16,243935
lws_16x16,16x16,8:16,278783
lws_16x16,16x16,9:16,313631
lws_16x16,16x16,10:16,348479
lws_16x16,16x16,11:16,383327
lws_16x16,16x16,12:16,418175
lws_16x16,16x16,13:16,453023
lws_16x16,16x16,14:16,487871
lws_16x16,16x16,15:16,522719
lws_16x16,16x16,16:16,557567
lws_32x32,32x32,1:32,6959
lws_32x32,32x32,2:32,10439
lws_32x32,32x32,3:32,17399
lws_32x32,32x32,4:32,20879
lws_32x32,32x32,5:32,27839
lws_32x32,32x32,6:32,31319
lws_32x32,32x32,7:32,38279
lws_32x32,32x32,8:32,41759
lws_32x32,32x32,9:32,48719
lws_32x32,32x32,10:32,52199
lws_32x32,32x32,11:32,59159
lws_32x32,32x32,12:32,62639
lws_32x32,32x32,13:32,69599
lws_32x32,32x32,14:32,73079
lws_32x32,32x32,15:32,80039
lws_32x32,32x32,16:32,83519
lws_32x32,32x32,17:32,90479
lws_32x32,32x32,18:32,93959
lws_32x32,32x32,19:32,100919
lws_32x32,32x32,20:32,104399
lws_32x32,32x32,21:32,111359
lws_32x32,32x32,22:32,114839
lws_32x32,32x32,23:32,121799
lws_32x32,32x32,24:32,125279
lws_32x32,32x32,25:32,132239
lws_32x32,32x32,26:32,135719
lws_32x32,32x32,27:32,142679
lws_32x32,32x32,28:32,146159
lws_32x32,32x32,29:32,153119
lws_32x32,32x32,30:32,156599
lws_32x32,32x32,31:32,163559
lws_32x32,32x32,32:32,167039
